category,total_volume,market_count
KXRECNCBILL,1172259.0,9
KXPATELCOUNT,1171428.0,13
BTCMAXY,1168957.0,8
KXMLBSERIESEXACT,1165707.0,48
KXEPLTOP4,1162408.0,20
KXRAINNYCM,1157272.0,108
USDJPYH,1156155.0,121070
CPIYOY,1138849.0,356
KXSNOWNYM,1123960.0,25
KXRTLASTBREATH,1102894.0,11
KXMAYORJERSEY,1085248.0,6
GAS,1077299.0,497
KXDEPORTCOUNT,1075643.0,5
KXLARGETARIFF,1060180.0,1
PRESPARTYNM,1055105.0,2
KXHURCAT,1054919.0,100
KXJAN6PARDONDAY1,1044957.0,6
ECDJTBLOWOUT,1040016.0,1
CASEM,1030488.0,13
KXNFLOPOTY,1024038.0,51
KXRTJURASSICWORLDREBIRTH,1023345.0,11
KXUSDJPY,1021371.0,4035
KXZELENSKYYPUTINMEET,1013240.0,1
KXENDORSECUOMO,1006483.0,6
KXTESLA,1005792.0,34
KXSENATEMED,1004908.0,7
TERMINALRATE,1003305.0,19
CPICOREYOY,1002242.0,392
KXWAYMOCITIES,1001694.0,14
KXNHL4NATIONS,1000504.0,4
KXLIGAPORTUGALGAME,999880.0,78
KXHEGSETHCOUNT,997955.0,7
CASED,993985.0,262
KXRANKLISTSONGTHRILLER,993513.0,2
KXPUBLICBIDEN,990465.0,1
KXNFLNFCSOUTH,989548.0,4
KXAPRPOTUS,982334.0,411
PROLLS,981254.0,172
KXELONTWEETS,977734.0,111
KXUFCTITLE,973226.0,4
KXARRESTJOHNBOLTON,969995.0,1
KXTOPALBUM,966944.0,489
ROBOTAXIOUT,961900.0,1
KXEURUSD,959817.0,4035
KXNBAROY,957666.0,28
KXRTKARATEKIDLEGENDS,953027.0,12
U3,949004.0,393
KXRTTHEDAMNED,945280.0,11
KXMLBRFI,941459.0,10
KXIRELANDPARTY,939423.0,8
KXRECNC,935071.0,11
KXATPMIA,931358.0,46
KXEARNINGSMENTIONNVDA,930659.0,75
KXALEAGUEGAME,924198.0,30
KXTOPALBUMSPOTIFYUSA,920913.0,9
KXAPPRANKFREE2,912095.0,1115
KXEMMYCSERIES,911842.0,16
KXTOP10TAYLORSWIFT,911823.0,2
KXCANCONSEATS,909154.0,10
KXRTSMURFS,907261.0,15
KXTRUMPPRESS,905666.0,16
KXDANCINGWITHTHESTARS,904057.0,12
KXRTWOLFMAN,902486.0,11
KXTOPSONG,902124.0,552
KXGOVNJNOMD,893627.0,8
KXNFLAFCEAST,893454.0,4
KXSYNTHETIXTRADINGCOMP,891512.0,34
KXINAUGVIEWS,875597.0,2
KXOSCARNOMSUPACTR,864013.0,35
KXRTJWBALLERINA,862626.0,12
KXENDORSEMAM,862484.0,9
KXSECCHAIR,861996.0,11
KXHOUSEEPSTEIN,859885.0,16
KXDEMVASWEEP,858789.0,1
KXRAINNOSB,857668.0,1
KXCODINGMODEL,856753.0,14
KXPSUCOACH,855251.0,28
KXBORDERBILL,852101.0,6
KXATPMAD,848228.0,58
KXOSCARSUPACTO,843926.0,29
KXSECENERGY,841124.0,8
KXNASCAR,839912.0,16
KXRTTHEAMATEUR,838303.0,16
FBUSTER,837687.0,2
PAYROLLS,836030.0,75
KXRTNAKEDGUN,831178.0,12
KXRTSONIC3,828883.0,10
SENATEMT,828792.0,4
KXOSCARSUPACTR,828091.0,30
KXRTWEAPONS,827996.0,10
KXNFLDROTY,827197.0,51
KXLEBRONMENTION,819179.0,21
KXRTDENOFTHIEVES,816513.0,12
INXZ,815097.0,143
KXDJTFLAK,814184.0,1
